"ver";"ebene";"ort";"art";"kapnr";"grvon";"code";"normcode";"codeohnepunkt";"titel";"dreisteller";"viersteller";"fuenfsteller";"p295";"p301";"mortl1code";"mortl2code";"mortl3code";"mortl4code";"morblcode";"sexcode";"sexfehlertyp";"altunt";"altob";"altfehlertyp";"exot";"belegt";"ifsgmeldung";"ifsglabor";"vermodif";"verevent"
"2008";"4";N;X;"09";I30;I48.0-;I48.0;I480;Vorhofflattern;;;;P;V;"1-068";"2-054";"3-030";"4-044";"150";"9";"9";"9999";"9999";"9";N;J;N;N;"2013";D
"2008";"5";T;S;"09";I30;I48.00;I48.00;I4800;Vorhofflattern: Paroxysmal;;;;P;P;"1-068";"2-054";"3-030";"4-044";"150";"9";"9";"9999";"9999";"9";N;J;N;N;"2013";D
"2008";"5";T;S;"09";I30;I48.01;I48.01;I4801;Vorhofflattern: Chronisch;;;;P;P;"1-068";"2-054";"3-030";"4-044";"150";"9";"9";"9999";"9999";"9";N;J;N;N;"2013";D
"2008";"5";T;S;"09";I30;I48.09;I48.09;I4809;Vorhofflattern: Nicht näher bezeichnet;;;;P;P;"1-068";"2-054";"3-030";"4-044";"150";"9";"9";"9999";"9999";"9";N;J;N;N;"2013";D
"2008";"4";N;X;"09";I30;I48.1-;I48.1;I481;Vorhofflimmern;;;;P;V;"1-068";"2-054";"3-030";"4-044";"150";"9";"9";"9999";"9999";"9";N;J;N;N;"2013";D
"2008";"5";T;S;"09";I30;I48.10;I48.10;I4810;Vorhofflimmern: Paroxysmal;;;;P;P;"1-068";"2-054";"3-030";"4-044";"150";"9";"9";"9999";"9999";"9";N;J;N;N;"2013";D
"2008";"5";T;S;"09";I30;I48.11;I48.11;I4811;Vorhofflimmern: Chronisch;;;;P;P;"1-068";"2-054";"3-030";"4-044";"150";"9";"9";"9999";"9999";"9";N;J;N;N;"2013";D
"2008";"5";T;S;"09";I30;I48.19;I48.19;I4819;Vorhofflimmern: Nicht näher bezeichnet;;;;P;P;"1-068";"2-054";"3-030";"4-044";"150";"9";"9";"9999";"9999";"9";N;J;N;N;"2013";D
"2008";"3";N;X;"09";I80;I84.-;I84;I84;Hämorrhoiden;;;;V;V;"1-071";"2-057";"3-030";"4-044";"163";"9";"9";j015;j124;K;N;J;N;N;"2013";D
"2008";"4";T;X;"09";I80;I84.0;I84.0;I840;Innere thrombosierte Hämorrhoiden;;;;P;P;"1-071";"2-057";"3-030";"4-044";"163";"9";"9";j015;j124;K;N;J;N;N;"2013";D
