"code";"kapnr";"ver"
C41.3-;"02";"2009"
C41.30;"02";"2009"
C41.31;"02";"2009"
C41.32;"02";"2009"
C79.85;"02";"2017"
C79.86;"02";"2017"
C79.9;"02";"2010"
C80.-;"02";"2010"
C80.0;"02";"2010"
C80.9;"02";"2010"
C81.4;"02";"2011"
C82.3;"02";"2011"
C82.4;"02";"2011"
C82.5;"02";"2011"
C82.6;"02";"2011"
C84.6;"02";"2011"
C84.7;"02";"2011"
C84.8;"02";"2011"
C84.9;"02";"2011"
C85.2;"02";"2011"
C86.-;"02";"2011"
C86.0;"02";"2011"
C86.1;"02";"2011"
C86.2;"02";"2011"
C86.3;"02";"2011"
C86.4;"02";"2011"
C86.5;"02";"2011"
C86.6;"02";"2011"
C88.4-;"02";"2011"
C88.40;"02";"2011"
C88.41;"02";"2011"
C90.3-;"02";"2011"
C90.30;"02";"2011"
C90.31;"02";"2011"
C91.6-;"02";"2011"
C91.60;"02";"2011"
C91.61;"02";"2011"
C91.8-;"02";"2011"
C91.80;"02";"2011"
C91.81;"02";"2011"
C92.6-;"02";"2011"
C92.60;"02";"2011"
C92.61;"02";"2011"
C92.8-;"02";"2011"
C92.80;"02";"2011"
C92.81;"02";"2011"
C93.3-;"02";"2011"
C93.30;"02";"2011"
C93.31;"02";"2011"
C94.6-;"02";"2011"
C94.60;"02";"2011"
C94.61;"02";"2011"
C94.8!;"02";"2011"
C96.4;"02";"2011"
C96.5;"02";"2011"
C96.6;"02";"2011"
C96.8;"02";"2011"
D16.7-;"02";"2009"
D16.70;"02";"2009"
D16.71;"02";"2009"
D16.72;"02";"2009"
D18.06;"02";"2017"
D37.7-;"02";"2011"
D37.70;"02";"2011"
D37.78;"02";"2011"
D46.5;"02";"2011"
D46.6;"02";"2011"
D47.4;"02";"2011"
D47.5;"02";"2011"
M14.0-*;"13";"2018"
M14.00*;"13";"2018"
M14.01*;"13";"2018"
M14.02*;"13";"2018"
M14.03*;"13";"2018"
M14.04*;"13";"2018"
M14.05*;"13";"2018"
M14.06*;"13";"2018"
M14.07*;"13";"2018"
M14.08*;"13";"2018"
M14.09*;"13";"2018"
M14.1-*;"13";"2018"
M14.10*;"13";"2018"
M14.11*;"13";"2018"
M14.12*;"13";"2018"
M14.13*;"13";"2018"
M14.14*;"13";"2018"
M14.15*;"13";"2018"
M14.16*;"13";"2018"
M14.17*;"13";"2018"
M14.18*;"13";"2018"
M14.19*;"13";"2018"
M14.2-*;"13";"2018"
M14.20*;"13";"2018"
M14.21*;"13";"2018"
M14.22*;"13";"2018"
M14.23*;"13";"2018"
M14.24*;"13";"2018"
M14.25*;"13";"2018"
M14.26*;"13";"2018"
M14.27*;"13";"2018"
M14.28*;"13";"2018"
M14.29*;"13";"2018"
M14.3-*;"13";"2018"
M14.30*;"13";"2018"
M14.31*;"13";"2018"
M14.32*;"13";"2018"
M14.33*;"13";"2018"
M14.34*;"13";"2018"
M14.35*;"13";"2018"
M14.36*;"13";"2018"
M14.37*;"13";"2018"
M14.38*;"13";"2018"
M14.39*;"13";"2018"
M14.4-*;"13";"2018"
M14.40*;"13";"2018"
M14.41*;"13";"2018"
M14.42*;"13";"2018"
M14.43*;"13";"2018"
M14.44*;"13";"2018"
M14.45*;"13";"2018"
M14.46*;"13";"2018"
M14.47*;"13";"2018"
M14.48*;"13";"2018"
M14.49*;"13";"2018"
M14.5-*;"13";"2018"
M14.50*;"13";"2018"
M14.51*;"13";"2018"
M14.52*;"13";"2018"
M14.53*;"13";"2018"
M14.54*;"13";"2018"
M14.55*;"13";"2018"
M14.56*;"13";"2018"
M14.57*;"13";"2018"
M14.58*;"13";"2018"
M14.59*;"13";"2018"
M14.6-*;"13";"2018"
M14.60*;"13";"2018"
M14.61*;"13";"2018"
M14.62*;"13";"2018"
M14.63*;"13";"2018"
M14.64*;"13";"2018"
M14.65*;"13";"2018"
M14.66*;"13";"2018"
M14.67*;"13";"2018"
M14.68*;"13";"2018"
M14.69*;"13";"2018"
M14.8-*;"13";"2018"
M14.80*;"13";"2018"
M14.81*;"13";"2018"
M14.82*;"13";"2018"
M14.83*;"13";"2018"
M14.84*;"13";"2018"
M14.85*;"13";"2018"
M14.86*;"13";"2018"
M14.87*;"13";"2018"
M14.88*;"13";"2018"
M14.89*;"13";"2018"
M21.6;"13";"2013"
M21.61;"13";"2015"
M21.62;"13";"2015"
M21.63;"13";"2015"
M21.68;"13";"2015"
M23.4;"13";"2013"
M36.5-*;"13";"2016"
M36.51*;"13";"2016"
M36.52*;"13";"2016"
M36.53*;"13";"2016"
M75.6;"13";"2019"
M93.2-;"13";"2015"
M93.20;"13";"2015"
M93.21;"13";"2015"
M93.22;"13";"2015"
M93.23;"13";"2015"
M93.24;"13";"2015"
M93.25;"13";"2015"
M93.26;"13";"2015"
M93.27;"13";"2015"
M93.28;"13";"2015"
M93.29;"13";"2015"
M93.8-;"13";"2015"
M93.80;"13";"2015"
M93.81;"13";"2015"
M93.82;"13";"2015"
M93.83;"13";"2015"
M93.84;"13";"2015"
M93.85;"13";"2015"
M93.86;"13";"2015"
M93.87;"13";"2015"
M93.88;"13";"2015"
M93.89;"13";"2015"
M96.82;"13";"2014"
U06.-;"22";"2013"
U06.0;"22";"2013"
U06.1;"22";"2013"
U06.2;"22";"2013"
U06.3;"22";"2013"
U06.4;"22";"2013"
U06.5;"22";"2013"
U06.6;"22";"2013"
U06.7;"22";"2013"
U06.8;"22";"2013"
U06.9;"22";"2013"
U07.-;"22";"2013"
U07.0;"22";"2013"
U07.0!;"22";"2021"
U07.1;"22";"2013"
U07.1!;"22";"2021"
U07.2;"22";"2013"
U07.2!;"22";"2021"
U07.3;"22";"2013"
U07.4;"22";"2013"
U07.5;"22";"2013"
U07.6;"22";"2013"
U07.7;"22";"2013"
U07.8;"22";"2013"
U07.9;"22";"2013"
U08.-;"22";"2021"
U08.9;"22";"2021"
U09.-!;"22";"2021"
U09.9!;"22";"2021"
U10.-;"22";"2021"
U10.9;"22";"2021"
U11.-;"22";"2021"
U11.0;"22";"2021"
U11.1;"22";"2021"
U11.2;"22";"2021"
U11.3;"22";"2021"
U11.4;"22";"2021"
U11.5;"22";"2021"
U11.6;"22";"2021"
U11.7;"22";"2021"
U11.8;"22";"2021"
U11.9;"22";"2021"
U12.-;"22";"2021"
U12.0;"22";"2021"
U12.1;"22";"2021"
U12.2;"22";"2021"
U12.3;"22";"2021"
U12.4;"22";"2021"
U12.5;"22";"2021"
U12.6;"22";"2021"
U12.7;"22";"2021"
U12.8;"22";"2021"
U12.9;"22";"2021"
U13.-;"22";"2021"
U13.0;"22";"2021"
U13.1;"22";"2021"
U13.2;"22";"2021"
U13.3;"22";"2021"
U13.4;"22";"2021"
U13.5;"22";"2021"
U13.6;"22";"2021"
U13.7;"22";"2021"
U13.8;"22";"2021"
U13.9;"22";"2021"
U14.-;"22";"2021"
U14.0;"22";"2021"
U14.1;"22";"2021"
U14.2;"22";"2021"
U14.3;"22";"2021"
U14.4;"22";"2021"
U14.5;"22";"2021"
U14.6;"22";"2021"
U14.7;"22";"2021"
U14.8;"22";"2021"
U14.9;"22";"2021"
U15.-;"22";"2021"
U15.0;"22";"2021"
U15.1;"22";"2021"
U15.2;"22";"2021"
U15.3;"22";"2021"
U15.4;"22";"2021"
U15.5;"22";"2021"
U15.6;"22";"2021"
U15.7;"22";"2021"
U15.8;"22";"2021"
U15.9;"22";"2021"
U69.-!;"22";"2008"
U69.0-!;"22";"2008"
U69.00!;"22";"2008"
U69.01!;"22";"2019"
U69.02!;"22";"2019"
U69.03!;"22";"2019"
U69.1-!;"22";"2008"
U69.10!;"22";"2008"
U69.11!;"22";"2014"
U69.12!;"22";"2014"
U69.13!;"22";"2018"
U69.2-!;"22";"2010"
U69.20!;"22";"2010"
U69.21!;"22";"2010"
U69.3-!;"22";"2014"
U69.30!;"22";"2014"
U69.31!;"22";"2014"
U69.32!;"22";"2014"
U69.33!;"22";"2015"
U69.34!;"22";"2015"
U69.35!;"22";"2015"
U69.36!;"22";"2015"
U69.4-!;"22";"2016"
U69.40!;"22";"2016"
U80.0-!;"22";"2013"
U80.00!;"22";"2013"
U80.01!;"22";"2013"
U80.1-!;"22";"2013"
U80.10!;"22";"2013"
U80.11!;"22";"2013"
U80.2-!;"22";"2013"
U80.20!;"22";"2013"
U80.21!;"22";"2013"
U80.3-!;"22";"2013"
U80.30!;"22";"2013"
U80.31!;"22";"2013"
U80.8!;"22";"2017"
U81.-!;"22";"2017"
U81.0-!;"22";"2017"
U81.00!;"22";"2017"
U81.01!;"22";"2017"
U81.02!;"22";"2017"
U81.03!;"22";"2017"
U81.04!;"22";"2017"
U81.05!;"22";"2017"
U81.06!;"22";"2017"
U81.07!;"22";"2017"
U81.08!;"22";"2017"
U81.1-!;"22";"2017"
U81.10!;"22";"2017"
U81.11!;"22";"2017"
U81.2-!;"22";"2017"
U81.20!;"22";"2017"
U81.21!;"22";"2017"
U81.22!;"22";"2017"
U81.23!;"22";"2017"
U81.24!;"22";"2017"
U81.25!;"22";"2017"
U81.26!;"22";"2017"
U81.27!;"22";"2017"
U81.28!;"22";"2017"
U81.3-!;"22";"2017"
U81.30!;"22";"2017"
U81.31!;"22";"2017"
U81.4-!;"22";"2017"
U81.40!;"22";"2017"
U81.41!;"22";"2017"
U81.42!;"22";"2017"
U81.43!;"22";"2017"
U81.44!;"22";"2017"
U81.45!;"22";"2017"
U81.46!;"22";"2017"
U81.47!;"22";"2017"
U81.48!;"22";"2017"
U81.5-!;"22";"2017"
U81.50!;"22";"2017"
U81.51!;"22";"2017"
U81.6!;"22";"2017"
U81.8!;"22";"2017"
U98.-!;"22";"2021"
U98.0!;"22";"2021"
U98.1!;"22";"2021"
U98.2!;"22";"2021"
U98.3!;"22";"2021"
U98.4!;"22";"2021"
U98.5!;"22";"2021"
U98.6!;"22";"2021"
U98.7!;"22";"2021"
U98.8!;"22";"2021"
U98.9!;"22";"2021"
