"code";"kapnr";"ver"
E66.0-;"04";"2008"
E66.00;"04";"2008"
E66.01;"04";"2008"
E66.02;"04";"2008"
E66.09;"04";"2008"
E66.1-;"04";"2008"
E66.10;"04";"2008"
E66.11;"04";"2008"
E66.12;"04";"2008"
E66.19;"04";"2008"
E66.2-;"04";"2008"
E66.20;"04";"2008"
E66.21;"04";"2008"
E66.22;"04";"2008"
E66.29;"04";"2008"
E66.8-;"04";"2008"
E66.80;"04";"2008"
E66.81;"04";"2008"
E66.82;"04";"2008"
E66.89;"04";"2008"
E66.9-;"04";"2008"
E66.90;"04";"2008"
E66.91;"04";"2008"
E66.92;"04";"2008"
E66.99;"04";"2008"
E83.5-;"04";"2008"
E83.50;"04";"2008"
E83.58;"04";"2008"
E83.59;"04";"2008"
N15.1-;"14";"2008"
N15.10;"14";"2008"
N15.11;"14";"2008"
N48.3-;"14";"2008"
N48.30;"14";"2008"
N48.31;"14";"2008"
N48.38;"14";"2008"
N48.39;"14";"2008"
T85.82;"19";"2008"
U69.-!;"22";"2008"
U69.0-!;"22";"2008"
U69.00!;"22";"2008"
U69.1-!;"22";"2008"
U69.10!;"22";"2008"
C41.3-;"02";"2009"
C41.30;"02";"2009"
C41.31;"02";"2009"
C41.32;"02";"2009"
D16.7-;"02";"2009"
D16.70;"02";"2009"
D16.71;"02";"2009"
D16.72;"02";"2009"
E10.72;"04";"2009"
E10.73;"04";"2009"
E10.74;"04";"2009"
E10.75;"04";"2009"
E11.72;"04";"2009"
E11.73;"04";"2009"
E11.74;"04";"2009"
E11.75;"04";"2009"
E12.72;"04";"2009"
E12.73;"04";"2009"
E12.74;"04";"2009"
E12.75;"04";"2009"
E13.72;"04";"2009"
E13.73;"04";"2009"
E13.74;"04";"2009"
E13.75;"04";"2009"
E14.72;"04";"2009"
E14.73;"04";"2009"
E14.74;"04";"2009"
E14.75;"04";"2009"
E88.3;"04";"2009"
I72.5;"09";"2009"
C79.9;"02";"2010"
C80.-;"02";"2010"
C80.0;"02";"2010"
C80.9;"02";"2010"
I98.2*;"09";"2010"
I98.3*;"09";"2010"
K12.3;"11";"2010"
K35.2;"11";"2010"
K35.3-;"11";"2010"
K35.30;"11";"2010"
K35.31;"11";"2010"
K35.32;"11";"2010"
K35.8;"11";"2010"
K50.8-;"11";"2010"
K50.80;"11";"2010"
K50.81;"11";"2010"
K50.82;"11";"2010"
K50.88;"11";"2010"
K52.3-;"11";"2010"
K52.30;"11";"2010"
K52.31;"11";"2010"
K52.32;"11";"2010"
K52.38;"11";"2010"
K55.8-;"11";"2010"
K55.81;"11";"2010"
K55.82;"11";"2010"
K55.88;"11";"2010"
N18.1;"14";"2010"
N18.2;"14";"2010"
N18.3;"14";"2010"
N18.4;"14";"2010"
N18.5;"14";"2010"
N39.47!;"14";"2010"
N42.3;"14";"2010"
U69.2-!;"22";"2010"
U69.20!;"22";"2010"
U69.21!;"22";"2010"
C81.4;"02";"2011"
C82.3;"02";"2011"
C82.4;"02";"2011"
C82.5;"02";"2011"
C82.6;"02";"2011"
C84.6;"02";"2011"
C84.7;"02";"2011"
C84.8;"02";"2011"
C84.9;"02";"2011"
C85.2;"02";"2011"
C86.-;"02";"2011"
C86.0;"02";"2011"
C86.1;"02";"2011"
C86.2;"02";"2011"
C86.3;"02";"2011"
C86.4;"02";"2011"
C86.5;"02";"2011"
C86.6;"02";"2011"
C88.4-;"02";"2011"
C88.40;"02";"2011"
C88.41;"02";"2011"
C90.3-;"02";"2011"
C90.30;"02";"2011"
C90.31;"02";"2011"
C91.6-;"02";"2011"
C91.60;"02";"2011"
C91.61;"02";"2011"
C91.8-;"02";"2011"
C91.80;"02";"2011"
C91.81;"02";"2011"
C92.6-;"02";"2011"
C92.60;"02";"2011"
C92.61;"02";"2011"
C92.8-;"02";"2011"
C92.80;"02";"2011"
C92.81;"02";"2011"
C93.3-;"02";"2011"
C93.30;"02";"2011"
C93.31;"02";"2011"
C94.6-;"02";"2011"
C94.60;"02";"2011"
C94.61;"02";"2011"
C94.8!;"02";"2011"
C96.4;"02";"2011"
C96.5;"02";"2011"
C96.6;"02";"2011"
C96.8;"02";"2011"
D37.7-;"02";"2011"
D37.70;"02";"2011"
D37.78;"02";"2011"
D46.5;"02";"2011"
D46.6;"02";"2011"
D47.4;"02";"2011"
D47.5;"02";"2011"
I87.0-;"09";"2011"
I87.00;"09";"2011"
I87.01;"09";"2011"
I80.2-;"09";"2012"
I80.20;"09";"2012"
I80.28;"09";"2012"
I80.8-;"09";"2012"
I80.80;"09";"2012"
I80.81;"09";"2012"
I80.88;"09";"2012"
I82.8-;"09";"2012"
I82.80;"09";"2012"
I82.88;"09";"2012"
T85.72;"19";"2012"
I48.0;"09";"2013"
I48.1;"09";"2013"
I48.2;"09";"2013"
I48.3;"09";"2013"
I48.4;"09";"2013"
I48.9;"09";"2013"
I72.6;"09";"2013"
K02.5;"11";"2013"
K43.2;"11";"2013"
K43.3;"11";"2013"
K43.4;"11";"2013"
K43.5;"11";"2013"
K43.6-;"11";"2013"
K43.60;"11";"2013"
K43.68;"11";"2013"
K43.69;"11";"2013"
K43.7-;"11";"2013"
K43.70;"11";"2013"
K43.78;"11";"2013"
K43.79;"11";"2013"
K43.9-;"11";"2013"
K43.90;"11";"2013"
K43.98;"11";"2013"
K43.99;"11";"2013"
K64.-;"11";"2013"
K64.0;"11";"2013"
K64.1;"11";"2013"
K64.2;"11";"2013"
K64.3;"11";"2013"
K64.4;"11";"2013"
K64.5;"11";"2013"
K64.8;"11";"2013"
K64.9;"11";"2013"
K91.81;"11";"2013"
K91.82;"11";"2013"
K91.83;"11";"2013"
M21.6;"13";"2013"
M23.4;"13";"2013"
U07.6;"22";"2013"
U06.-;"22";"2013"
U06.0;"22";"2013"
U06.1;"22";"2013"
U06.2;"22";"2013"
U06.3;"22";"2013"
U06.4;"22";"2013"
U06.5;"22";"2013"
U06.6;"22";"2013"
U06.7;"22";"2013"
U06.8;"22";"2013"
U06.9;"22";"2013"
U07.-;"22";"2013"
U07.0;"22";"2013"
U07.1;"22";"2013"
U07.2;"22";"2013"
U07.3;"22";"2013"
U07.4;"22";"2013"
U07.5;"22";"2013"
U07.7;"22";"2013"
U07.8;"22";"2013"
U07.9;"22";"2013"
U80.0-!;"22";"2013"
U80.00!;"22";"2013"
U80.01!;"22";"2013"
U80.1-!;"22";"2013"
U80.10!;"22";"2013"
U80.11!;"22";"2013"
U80.2-!;"22";"2013"
U80.20!;"22";"2013"
U80.21!;"22";"2013"
U80.3-!;"22";"2013"
U80.30!;"22";"2013"
U80.31!;"22";"2013"
M96.82;"13";"2014"
N90.8-;"14";"2014"
N90.80;"14";"2014"
N90.81;"14";"2014"
N90.82;"14";"2014"
N90.83;"14";"2014"
N90.84;"14";"2014"
N90.88;"14";"2014"
T85.73;"19";"2014"
T85.83;"19";"2014"
U69.11!;"22";"2014"
U69.12!;"22";"2014"
U69.3-!;"22";"2014"
U69.30!;"22";"2014"
U69.31!;"22";"2014"
U69.32!;"22";"2014"
I70.26;"09";"2015"
I70.29;"09";"2015"
M21.61;"13";"2015"
M21.62;"13";"2015"
M21.63;"13";"2015"
M21.68;"13";"2015"
M93.2-;"13";"2015"
M93.20;"13";"2015"
M93.21;"13";"2015"
M93.22;"13";"2015"
M93.23;"13";"2015"
M93.24;"13";"2015"
M93.25;"13";"2015"
M93.26;"13";"2015"
M93.27;"13";"2015"
M93.28;"13";"2015"
M93.29;"13";"2015"
M93.8-;"13";"2015"
M93.80;"13";"2015"
M93.81;"13";"2015"
M93.82;"13";"2015"
M93.83;"13";"2015"
M93.84;"13";"2015"
M93.85;"13";"2015"
M93.86;"13";"2015"
M93.87;"13";"2015"
M93.88;"13";"2015"
M93.89;"13";"2015"
N17.82;"14";"2015"
N17.83;"14";"2015"
N17.0-;"14";"2015"
N17.01;"14";"2015"
N17.02;"14";"2015"
N17.03;"14";"2015"
N17.09;"14";"2015"
N17.1-;"14";"2015"
N17.11;"14";"2015"
N17.12;"14";"2015"
N17.13;"14";"2015"
N17.19;"14";"2015"
N17.2-;"14";"2015"
N17.21;"14";"2015"
N17.22;"14";"2015"
N17.23;"14";"2015"
N17.29;"14";"2015"
N17.8-;"14";"2015"
N17.81;"14";"2015"
N17.89;"14";"2015"
N17.9-;"14";"2015"
N17.91;"14";"2015"
N17.92;"14";"2015"
N17.93;"14";"2015"
N17.99;"14";"2015"
T79.6-;"19";"2015"
T79.60;"19";"2015"
T79.61;"19";"2015"
T79.62;"19";"2015"
T79.63;"19";"2015"
T79.68;"19";"2015"
T79.69;"19";"2015"
U69.33!;"22";"2015"
U69.34!;"22";"2015"
U69.35!;"22";"2015"
U69.36!;"22";"2015"
I87.2-;"09";"2016"
I87.20;"09";"2016"
I87.21;"09";"2016"
K77.2-*;"11";"2016"
K77.21*;"11";"2016"
K77.22*;"11";"2016"
K77.23*;"11";"2016"
K93.3-*;"11";"2016"
K93.31*;"11";"2016"
K93.32*;"11";"2016"
K93.33*;"11";"2016"
K93.4-*;"11";"2016"
K93.41*;"11";"2016"
K93.42*;"11";"2016"
K93.43*;"11";"2016"
M36.5-*;"13";"2016"
M36.51*;"13";"2016"
M36.52*;"13";"2016"
M36.53*;"13";"2016"
N77.2-*;"14";"2016"
N77.21*;"14";"2016"
N77.22*;"14";"2016"
N77.23*;"14";"2016"
T86.05;"19";"2016"
I50.05!;"09";"2017"
T86.06;"19";"2016"
T86.07;"19";"2016"
U69.4-!;"22";"2016"
U69.40!;"22";"2016"
C79.85;"02";"2017"
C79.86;"02";"2017"
D18.06;"02";"2017"
E66.04;"04";"2017"
E66.05;"04";"2017"
E66.14;"04";"2017"
E66.15;"04";"2017"
E66.24;"04";"2017"
E66.25;"04";"2017"
E66.84;"04";"2017"
E66.85;"04";"2017"
E66.94;"04";"2017"
E66.95;"04";"2017"
E88.2-;"04";"2017"
E88.20;"04";"2017"
E88.21;"04";"2017"
E88.22;"04";"2017"
E88.28;"04";"2017"
E88.29;"04";"2017"
I50.02!;"09";"2017"
I50.03!;"09";"2017"
I50.04!;"09";"2017"
I89.0-;"09";"2017"
I89.00;"09";"2017"
I89.01;"09";"2017"
I89.02;"09";"2017"
I89.03;"09";"2017"
I89.04;"09";"2017"
I89.05;"09";"2017"
I89.08;"09";"2017"
I89.09;"09";"2017"
I97.2-;"09";"2017"
I97.20;"09";"2017"
I97.21;"09";"2017"
I97.22;"09";"2017"
I97.29;"09";"2017"
I97.8-;"09";"2017"
I97.80;"09";"2017"
I97.81;"09";"2017"
I97.82;"09";"2017"
I97.83;"09";"2017"
I97.84;"09";"2017"
S15.8-;"19";"2017"
I97.85;"09";"2017"
I97.86;"09";"2017"
I97.87;"09";"2017"
I97.88;"09";"2017"
I97.89;"09";"2017"
K22.8-;"11";"2017"
K22.80;"11";"2017"
K22.88;"11";"2017"
K71.8-;"11";"2017"
K71.80;"11";"2017"
K71.88;"11";"2017"
S15.80;"19";"2017"
S15.81;"19";"2017"
S15.82;"19";"2017"
S15.88;"19";"2017"
S19.8-;"19";"2017"
S19.80;"19";"2017"
S19.88;"19";"2017"
S25.8-;"19";"2017"
S25.80;"19";"2017"
S25.81;"19";"2017"
S25.82;"19";"2017"
S25.88;"19";"2017"
S29.8-;"19";"2017"
S29.80;"19";"2017"
S29.88;"19";"2017"
S35.8-;"19";"2017"
S35.80;"19";"2017"
S35.81;"19";"2017"
S35.82;"19";"2017"
S35.88;"19";"2017"
S39.81;"19";"2017"
U80.8!;"22";"2017"
U81.-!;"22";"2017"
U81.0-!;"22";"2017"
U81.00!;"22";"2017"
U81.01!;"22";"2017"
U81.02!;"22";"2017"
U81.03!;"22";"2017"
U81.04!;"22";"2017"
U81.05!;"22";"2017"
U81.06!;"22";"2017"
U81.07!;"22";"2017"
U81.08!;"22";"2017"
U81.1-!;"22";"2017"
U81.10!;"22";"2017"
U81.11!;"22";"2017"
U81.2-!;"22";"2017"
U81.20!;"22";"2017"
U81.21!;"22";"2017"
U81.22!;"22";"2017"
U81.23!;"22";"2017"
U81.24!;"22";"2017"
U81.25!;"22";"2017"
U81.26!;"22";"2017"
U81.27!;"22";"2017"
U81.28!;"22";"2017"
U81.3-!;"22";"2017"
U81.30!;"22";"2017"
U81.31!;"22";"2017"
U81.4-!;"22";"2017"
U81.40!;"22";"2017"
U81.41!;"22";"2017"
U81.42!;"22";"2017"
U81.43!;"22";"2017"
U81.44!;"22";"2017"
U81.45!;"22";"2017"
U81.46!;"22";"2017"
U81.47!;"22";"2017"
U81.48!;"22";"2017"
U81.5-!;"22";"2017"
U81.50!;"22";"2017"
U81.51!;"22";"2017"
M14.23*;"13";"2018"
U81.6!;"22";"2017"
U81.8!;"22";"2017"
I86.8-;"09";"2018"
I86.80;"09";"2018"
I86.81;"09";"2018"
I86.82;"09";"2018"
I86.88;"09";"2018"
M14.0-*;"13";"2018"
M14.00*;"13";"2018"
M14.01*;"13";"2018"
M14.02*;"13";"2018"
M14.03*;"13";"2018"
M14.24*;"13";"2018"
M14.04*;"13";"2018"
M14.05*;"13";"2018"
M14.06*;"13";"2018"
M14.07*;"13";"2018"
M14.08*;"13";"2018"
M14.09*;"13";"2018"
M14.1-*;"13";"2018"
M14.10*;"13";"2018"
M14.11*;"13";"2018"
M14.12*;"13";"2018"
M14.13*;"13";"2018"
M14.14*;"13";"2018"
M14.15*;"13";"2018"
M14.16*;"13";"2018"
M14.17*;"13";"2018"
M14.18*;"13";"2018"
M14.19*;"13";"2018"
M14.2-*;"13";"2018"
M14.20*;"13";"2018"
M14.21*;"13";"2018"
M14.22*;"13";"2018"
M14.25*;"13";"2018"
M14.26*;"13";"2018"
M14.27*;"13";"2018"
M14.28*;"13";"2018"
M14.29*;"13";"2018"
M14.3-*;"13";"2018"
M14.30*;"13";"2018"
M14.31*;"13";"2018"
M14.32*;"13";"2018"
M14.33*;"13";"2018"
M14.34*;"13";"2018"
M14.35*;"13";"2018"
M14.36*;"13";"2018"
M14.37*;"13";"2018"
M14.38*;"13";"2018"
M14.39*;"13";"2018"
M14.4-*;"13";"2018"
M14.40*;"13";"2018"
M14.41*;"13";"2018"
M14.42*;"13";"2018"
M14.43*;"13";"2018"
M14.44*;"13";"2018"
M14.45*;"13";"2018"
M14.46*;"13";"2018"
U14.-;"22";"2021"
M14.47*;"13";"2018"
M14.48*;"13";"2018"
M14.49*;"13";"2018"
M14.5-*;"13";"2018"
M14.50*;"13";"2018"
M14.51*;"13";"2018"
M14.52*;"13";"2018"
M14.53*;"13";"2018"
M14.54*;"13";"2018"
M14.55*;"13";"2018"
M14.56*;"13";"2018"
M14.57*;"13";"2018"
M14.58*;"13";"2018"
M14.59*;"13";"2018"
M14.6-*;"13";"2018"
M14.60*;"13";"2018"
M14.61*;"13";"2018"
M14.62*;"13";"2018"
M14.63*;"13";"2018"
M14.64*;"13";"2018"
M14.65*;"13";"2018"
M14.66*;"13";"2018"
M14.67*;"13";"2018"
M14.68*;"13";"2018"
M14.69*;"13";"2018"
M14.8-*;"13";"2018"
M14.80*;"13";"2018"
M14.81*;"13";"2018"
M14.82*;"13";"2018"
M14.83*;"13";"2018"
M14.84*;"13";"2018"
M14.85*;"13";"2018"
M14.86*;"13";"2018"
M14.87*;"13";"2018"
